id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,localidad,latitud,longitud
2928650,13 SEPTIEMBRE TURNO VESPERTINO,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Ciudad General Escobedo                                                                                       ,25.79549116,-100.2940701
3007400,15 DE SEPTIEMBRE TURNO MATUTINO,SECRETARÍA DE EDUCACIÓN ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Ciudad Santa Catarina                                                                                         ,25.68145925,-100.4957672
8745473,1979 AÑO INTERNACIONAL DEL NIÑO TURNO MATUTINO,ESCUELA PRIMARIA AÑO INTERNACIONAL DEL NIÑO TURNO MATUTINO REGION 11 19EPR593V ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Monterrey                                                                                                     ,25.73741895,-100.3401824
2940661,1983 CINCUENTARIO DE LA EDUCACION SECUNDARIA,1983 CINCUENTENARIO DE LA EDUCACION SECUNDARIO ,611132,Escuelas de educación secundaria general del sector público,11 a 30 personas,Ciudad Satélite del Norte                                                                                     ,25.91536071,-100.2630475
2938206,19BJN0218B,,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.74484309,-100.346626
3007165,19DPR0387N ESCUELA PRIMARIA IGNACIO ZARAGOZA TURNO MATUTINO,SEP ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Monterrey                                                                                                     ,25.72908863,-100.3614099
3007172,19DPR1215B ESUELA PRIMARIA IGNACIO ZARAGOZA TURNO VESPERTINO,SEP ,611122,Escuelas de educación primaria del sector público,6 a 10 personas,Monterrey                                                                                                     ,25.72908863,-100.3614099
3007166,19EES0048G ESCUELA SECUNDARIA 41 JOSE T PUENTE VAZQUEZ,SEP ,611132,Escuelas de educación secundaria general del sector público,31 a 50 personas,Monterrey                                                                                                     ,25.7280462,-100.3623171
3007164,19EES0201K ESCUELA SECUNDARIA 34 PROFESOR SIGIFREDO H RODRIGUEZ,SEP ,611132,Escuelas de educación secundaria general del sector público,11 a 30 personas,Monterrey                                                                                                     ,25.72802524,-100.3623353
3007163,19EES265B ESCUELA SECUNDARIA 67 PROFESORA Y DOCTORA JUSTNA SOLEDAD DELGADO RODRIGUEZ,SEP ,611132,Escuelas de educación secundaria general del sector público,11 a 30 personas,Monterrey                                                                                                     ,25.7279986,-100.3607833
3002902,2006 BICENTENARIO DE NATALICIO DE JUAREZ ESCUELA PRIMARIA T.M.,SEP ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Villas de Alcalá                                                                                              ,25.91606017,-100.1784204
8830091,8 LIMB MUAY THAI,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.75546689,-100.3769603
3025035,AARON SAENZ GARZA ESCUELA PRIMARIA,SECRETARIA DE EDUCACION PUBLICA DE NUEVO LEON ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,San Nicolás de los Garza                                                                                      ,25.76530357,-100.2738501
8777808,ACADEMIA DE ARTES MARCIALES,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Linares                                                                                                       ,24.86383664,-99.56310209
2975390,ACADEMIA DE ARTES MARCIALES  THE BUNKER,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.75833683,-100.2649117
8261652,ACADEMIA DE ARTES MARCIALES MIXTAS GOLDEN FIGHTER,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Linares                                                                                                       ,24.85732406,-99.56720369
6225529,ACADEMIA DE BAILE RITMO ACTUAL,SIN  INFORMACION ,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.67384886,-100.3029386
7562991,ACADEMIA DE BOX,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Santa Catarina                                                                                         ,25.69304927,-100.4462498
2952176,ACADEMIA DE BOX LAS POLINAS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.79749876,-100.3082591
8815159,ACADEMIA DE BOX PICASS0,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.75562154,-100.3956316
2978279,ACADEMIA DE DANCE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.71998476,-100.2347013
7786699,ACADEMIA DE DEFENSA ARAGON,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.77027354,-100.3734682
2982826,ACADEMIA DE FUTBOL TRIGRES DEL SUR,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Guadalupe                                                                                                     ,25.66001376,-100.2641037
3022879,ACADEMIA DE GIMNASIA ARTISTICA ZAYO RAMSS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Pedro Garza García                                                                                        ,25.65944829,-100.3996859
6217458,ACADEMIA DE MUSICA AB,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.56986009,-100.2417726
2953482,ACADEMIA DE TAE KUAN DO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.77882908,-100.2922003
8713328,ACADEMIA DE TAE KWON DO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.7759959,-100.2750018
8242064,ACADEMIA DE TAE KWON DO BENITEZ,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Doctor Arroyo                                                                                                 ,23.67520715,-100.1820018
7961715,ACADEMIA DE TAE KWON DO DEMAC,ACADEMIA DE TAE KWON DO DEMAC ,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.79897293,-100.3435075
2971862,ACADEMIA DE TAEKWANDO,ACADEMIA DE TAEKWANDO SA DE CV,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.70374977,-100.2805048
2953700,ACADEMIA DEMAC TAE KWON DO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.77207617,-100.3120317
3048212,ACADEMIA DEMAC TKD JARDINES,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.81488065,-100.2617391
2959080,ACADEMIA TAE KWON DO EN CENTRO COMUNITARIO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.76507142,-100.4039687
6215964,ACADEMIA TIGRES AZUL Y ORO,VIDA FUTBOL SA DE CV,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.62185116,-100.2716153
2967494,ACADEMIA VILLA MITRAS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.72724012,-100.3608022
2962019,ACADEMIA VONACHER,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.75768971,-100.403666
2932823,ACADEMIA VONNACHER,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.78481165,-100.3133102
7335137,ACADEMY THE BOXPRID,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.78826183,-100.3175118
3031137,ACUALLENDE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad de Allende                                                                                             ,25.27157614,-100.0244871
3043243,ACUATICA HUINALA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.75409389,-100.1607819
3054641,ADOLFO PRIETO UNIDAD 6,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611122,Escuelas de educación primaria del sector público,6 a 10 personas,Guadalupe                                                                                                     ,25.70202377,-100.2506059
3047682,AGUSTIN BASAVES TURNO VESPERTINO 19DJN210F,SECRETARIA DE EDUCACION PUBLICA ,611112,Escuelas de educación preescolar del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.76342872,-100.3670094
8635021,AIKIDO IKIDU TANGUMA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Guadalupe                                                                                                     ,25.69399642,-100.2537761
3045266,ALBERCAS MUNICIPALES JOSE MARIA MORELOS,PRESIDENCIA MUNICIPAL ,611622,Escuelas de deporte del sector público,0 a 5 personas,Montemorelos                                                                                                  ,25.18584799,-99.84455405
2915454,ALESSANDRO VOLTA,,611111,Escuelas de educación preescolar del sector privado,11 a 30 personas,Guadalupe                                                                                                     ,25.67543341,-100.2640934
3005690,ALFONSO REYES AURRECOCHEA,SECRETARIA DE EDUCACION PUBLICA ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Ciudad Santa Catarina                                                                                         ,25.68002063,-100.4454472
7805763,ALLIANCE JIU-JITSU MONTERREY,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.69662862,-100.3571379
6369724,AMERICAN INSTITUTE OF MONTERREY S C,AMERICAN INSTITUTE OF MONTERREY SC,611171,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,Ciudad Santa Catarina                                                                                         ,25.67605157,-100.4572454
6793762,AMERICAN INSTITUTE OF MONTERREY S C,AMERICAN INSTITUTE OF MONTERREY SC,611171,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,San Pedro Garza García                                                                                        ,25.64973766,-100.3272028
9315028,AMERICAN SCHOOL FOUNDATION OF MONTERREY,AMERICAN SCHOOL FOUNDATION OF MONTERREY ,611171,Escuelas del sector privado que combinan diversos niveles de educación,11 a 30 personas,Ciudad Santa Catarina                                                                                         ,25.66249261,-100.4401325
7350712,ANDREA CARDENAS RODRIGUEZ,,611112,Escuelas de educación preescolar del sector público,6 a 10 personas,Real del Sol                                                                                                  ,25.92598633,-100.1857092
8369036,ANGELES SOCCER ELITE,PROMOTORA DEPORTIVA DHBI AC,611621,Escuelas de deporte del sector privado,31 a 50 personas,San Pedro Garza García                                                                                        ,25.65771049,-100.358071
2925881,AÑO DE JUAREZ 72,AÑO DE JUAREZ 72 ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Ciudad Satélite del Norte                                                                                     ,25.91458239,-100.2641634
8667466,APOYO ACADEMICO DEL PONIENTE,,611181,Escuelas del sector privado de educación para necesidades especiales,0 a 5 personas,Monterrey                                                                                                     ,25.77199381,-100.3961431
7663294,APOYO ESCOLAR,SECRETARIA DE EDUCACION PUBLICA ,611142,Escuelas de educación secundaria técnica del sector público,0 a 5 personas,Guadalupe                                                                                                     ,25.65715757,-100.1943062
7663349,APOYO ESCOLAR 19FUA0042D,SECRETARIA DE EDUCACION PUBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,0 a 5 personas,Guadalupe                                                                                                     ,25.65967489,-100.1998112
8626711,APOYO ESCOLAR KIDS THERAPY,,611181,Escuelas del sector privado de educación para necesidades especiales,0 a 5 personas,Guadalupe                                                                                                     ,25.66438982,-100.2336495
7663293,APOYO ESCOLAR TV,USAER NUMERO 20 19FUA00205 SECRETARIA DE EDUCACION PUBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,0 a 5 personas,Guadalupe                                                                                                     ,25.65715757,-100.1943062
3030894,APOYO PSICOLOGICO Y EDUCATIVO,,611181,Escuelas del sector privado de educación para necesidades especiales,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.72861736,-100.2411123
7873287,APRENDE MONTERREY,,611181,Escuelas del sector privado de educación para necesidades especiales,6 a 10 personas,Guadalupe                                                                                                     ,25.69276143,-100.2490087
8805491,APRENDE RE,,611181,Escuelas del sector privado de educación para necesidades especiales,0 a 5 personas,Monterrey                                                                                                     ,25.60054169,-100.2650115
6726404,AQUA TOTS,TODOS A NADAR SA DE CV,611621,Escuelas de deporte del sector privado,11 a 30 personas,San Pedro Garza García                                                                                        ,25.65962112,-100.4167346
2977271,AQUASPORT,TODO NATACION SA DE CV,611621,Escuelas de deporte del sector privado,6 a 10 personas,San Nicolás de los Garza                                                                                      ,25.72606847,-100.3089461
2970229,ARCHIVO DE PREPARATORIA 1,UNIVERSIDAD AUTONOMA DE NUEVO LEÓN ,611162,Escuelas de educación media superior del sector público,0 a 5 personas,Monterrey                                                                                                     ,25.67450165,-100.315556
3052515,ARCOIRIS MAGICO JARDIN DE NIÑOS,,611111,Escuelas de educación preescolar del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.7779585,-100.2462503
3045353,ARONNOS TAE KWON DO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.75875846,-100.2166227
7703453,ARTES MARCIALES,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.74873114,-100.4195308
2998079,ARTES MARCIALES SPARTAN FORCE MMA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Cadereyta Jiménez                                                                                             ,25.57469223,-100.0145048
6368107,ARXE INSTITUTO,PROMOCIÓN INTEGRAL EDUCATIVA A C AC,611171,Escuelas del sector privado que combinan diversos niveles de educación,51 a 100 personas,Monterrey                                                                                                     ,25.67934012,-100.365091
8436712,ASESORIAS DE INSTITUTO NACIONAL PARA LA EDUCACION DE LOS ADULTOS.,GOBIERNO FEDERAL ,611172,Escuelas del sector público que combinan diversos niveles de educación,0 a 5 personas,Ciudad General Escobedo                                                                                       ,25.80012291,-100.3911298
8371230,ASOCIACION DEPORTIVA YOGA RAM,ASOCIACION DEPORTIVA YOGA RAM AC,611621,Escuelas de deporte del sector privado,11 a 30 personas,Monterrey                                                                                                     ,25.67819291,-100.3092189
2966964,ATENCION PSICOLOGIA UNIVERSIDAD JOMAR,FUNDACION JOMAR PROPOSITO DE VIDA AC,611161,Escuelas de educación media superior del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.72356542,-100.3382621
2963761,ATLANTIS NATACIÓN,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.70373227,-100.3681251
3013601,AULA DE CAPACITACION PARA ADULTOS INEA,SECRETARIA DE EDUCACION PUBLICA INEA ,611172,Escuelas del sector público que combinan diversos niveles de educación,0 a 5 personas,Ciudad Sabinas Hidalgo                                                                                        ,26.52927988,-100.1676594
3006101,AURORA BOXING CLUB,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.73946657,-100.2671338
8390953,AUXILIAR INSTITUTO BARCELONA,INSTITUTO CONSTRUCTIVISTA JOSVAC ,611171,Escuelas del sector privado que combinan diversos niveles de educación,0 a 5 personas,Ciudad Benito Juárez                                                                                          ,25.65046911,-100.10902
7787133,AVANC,EDITORA MEXICANA DE EXTENSION CULTURAL ,611181,Escuelas del sector privado de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.69423904,-100.3559819
3046214,AVANTE INSTITUTO EDUCATIVO,,611111,Escuelas de educación preescolar del sector privado,11 a 30 personas,Ciudad Apodaca                                                                                                ,25.74810985,-100.1903953
6370935,BACHILLERATO TECNOLOGICO,UNIVERSIDAD DE MONTERREY ,611161,Escuelas de educación media superior del sector privado,31 a 50 personas,Monterrey                                                                                                     ,25.67238045,-100.3388928
2947261,BAILOTERAPIA SIN NOMBRE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ex-Hacienda Santa Rosa                                                                                        ,25.80133851,-100.2188498
2991916,BALANCE BODY TRAINING,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Pedro Garza García                                                                                        ,25.65852375,-100.3735711
3027124,BAMBBINOS EDUCACION PARA EL FUTURO,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,Monterrey                                                                                                     ,25.69408683,-100.359047
8794734,BANDA TAEKWENDOO,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Fraccionamiento Misión de San Javier                                                                          ,25.74672237,-100.1487588
3009500,BERTHA BON GLUMER,,611111,Escuelas de educación preescolar del sector privado,0 a 5 personas,Guadalupe                                                                                                     ,25.68100306,-100.1615298
8633768,BHAKTI YOGA,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.78406767,-100.2669414
2922979,BILINGUE JUSTO SIERRA,BILLINGUE JUSTO SIERRA AC,611121,Escuelas de educación primaria del sector privado,11 a 30 personas,Guadalupe                                                                                                     ,25.71374856,-100.2074533
2962930,BLACK BOX CLUB,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.71068187,-100.376136
8524059,BLACK BULLS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.73727149,-100.1886262
8461691,BLACK LIONS TEAM,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.75637348,-100.1330959
2992898,BLOSSOM CHILDREN S  CENTER,BLOSSOM CHILDREN S CENTER S C ,611181,Escuelas del sector privado de educación para necesidades especiales,11 a 30 personas,San Pedro Garza García                                                                                        ,25.65750023,-100.4109642
8731045,BOX,,611621,Escuelas de deporte del sector privado,0 a 5 personas,García                                                                                                        ,25.80233399,-100.5922012
7679577,BOX,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.73345971,-100.1662321
9030037,BOX 10,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.72826119,-100.2411756
2976182,BOX ACADEMY,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.73541828,-100.2628532
3040613,BOX ACADEMY,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.63364324,-100.2725891
3029288,BOX ACADEMYC,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.72409071,-100.2225185
8413224,BOX CONUTER,,611621,Escuelas de deporte del sector privado,0 a 5 personas,San Pedro Garza García                                                                                        ,25.6618295,-100.404005
2979170,BOX EL PRINCIPE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Guadalupe                                                                                                     ,25.70310577,-100.2357255
8649065,BOX EVOLUTION,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.6793966,-100.3312544
6224843,BOX FACTORY,BOX FACTORY ,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.64789254,-100.2740104
8777937,BOX MASTER S,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Santiago                                                                                                      ,25.39932494,-100.1323028
7350536,BOX VIKINGOS 12,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Fraccionamiento Real Palmas                                                                                   ,25.89488442,-100.171221
7657762,BOXER PRINCIPAL,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Guadalupe                                                                                                     ,25.70808998,-100.2146888
8626764,BOXIN CLUB,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Guadalupe                                                                                                     ,25.6651722,-100.2113215
7704155,BOXING CLUB LAS PALMAS,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Monterrey                                                                                                     ,25.72395881,-100.3773977
7351785,BOXING COLIN CLUB,,611621,Escuelas de deporte del sector privado,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.79694489,-100.2316102
3001549,BRIGADA DE EDUCACION PANEL DE DESARROLLO RURAL,GOBIERNO DEL ESTADO ,611162,Escuelas de educación media superior del sector público,11 a 30 personas,Linares                                                                                                       ,24.85943214,-99.56657151
8844504,BRILIA KINDER,CENTRO DE NEURODESARROLLO Y EDUCACION INCLUSIVA SC,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,Monterrey                                                                                                     ,25.64038651,-100.2892053
6722909,BUILD A BODY,BUILD A BODY SA DE CV,611621,Escuelas de deporte del sector privado,6 a 10 personas,Ciudad Apodaca                                                                                                ,25.78412637,-100.227382
3052223,C.A.M. ANA ISABEL URIBE ANTUNEZ CT 19DML0035T,GOBIERNO FEDERAL ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.78241317,-100.3736203
2981384,C0LEGIO VALLADOLID,MOVIMIENTO EDUCATIVO VALLADOLID AC,611171,Escuelas del sector privado que combinan diversos niveles de educación,31 a 50 personas,Guadalupe                                                                                                     ,25.67091636,-100.204915
2994070,CAM,CENTRO DE ATENCIÓN MÚLTIPLE MONTERREY SUERESTE ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.66568953,-100.2870483
2935702,CAM ALFONSO REYES,SECRETARIA DE EDUCACION PUBLICA ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,Guadalupe                                                                                                     ,25.6879015,-100.2416577
2928932,CAM CAROLINA BAUR ARENAS TURNO VESPERTINO 19DML0033V,GOBIERNO FEDERAL ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Ciudad General Escobedo                                                                                       ,25.80169148,-100.3089238
3055020,CAM CENTRO DE ATENCIÓN MÚLTIPLE DE EDUCACIÓN ESPECIAL,SECRETARÍA DE EDUCACIÓN ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.67975804,-100.3314941
2987577,"CAM CENTRO DE ATENCION MULTIPLE, EDUCACION ESPECIAL CCT 19DMLOO43B CANDELARIO HUIZAR GARCIA DE LA CADENA",SECRETARIA DE EDUCACION PUBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Jardines de la Silla (Jardines)                                                                               ,25.61843661,-100.1787288
2915187,CAM DEL CENTRO ESCUELA ESPECIA 19EML0016D,CAM ESPECIAL DEL CENTRO ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.68505043,-100.3256489
2924252,CAM DR. JOSE R. GARZA DE LA GARZA,SECRETARIA ,611182,Escuelas del sector público de educación para necesidades especiales,6 a 10 personas,Hidalgo                                                                                                       ,25.9734128,-100.4545516
2964454,CAM ESCUELA PARA NIÑOS CON CAPACIDADES DIFERENTES,,611182,Escuelas del sector público de educación para necesidades especiales,6 a 10 personas,Monterrey                                                                                                     ,25.69538713,-100.3458354
2979767,CAM FRANCISCO GABILONDO SOLER CRI-CRI,GOBIERNO DEL ESTADO ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,San Nicolás de los Garza                                                                                      ,25.71455947,-100.2498065
2949905,CAM GILBERTO RINCON GALLARDO,,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Ciudad General Escobedo                                                                                       ,25.80709998,-100.3933621
3035342,CAM INSTITUTO SERTOMA DE LA AUDICION Y EL LENGUAJE,GOBIERNO ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.6612051,-100.3282123
2990685,CAM INSTITUTO SERTOMA DE LA AUDICION Y EL LENGUAJE- PRIMARIA RAFAEL RAMIREZ,GOBIERNO ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.66092625,-100.3277797
2972167,CAM LABORAL FRAY SERVANDO TERESA DE MIER,CAM LABORAL FRAY SERVANDO TERESA DE MIER ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.69605562,-100.2930825
3047642,CAM LABORAL GUADALUPE RODRIGUEZ SILVA,SECRETARÍA DE EDUCACIÓN ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Linares                                                                                                       ,24.83856547,-99.57309079
3039358,CAM LABORAL LAZARO CARDENAS TURNO MATUTINO,SECRETARIA DE EDUCACION ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.66317858,-100.2704526
2962735,CAM LABORAL MELCHOR OCAMPO,GOBIERNO DEL ESTADO ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.72233666,-100.3726512
2945740,CAM LUIS BRAILLE 19EML0012H,,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Fraccionamiento Real Palmas                                                                                   ,25.89749612,-100.1620314
3011471,CAM MARIANO ESCOBEDO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,31 a 50 personas,San Nicolás de los Garza                                                                                      ,25.73611623,-100.2716078
3044880,CAM PROFESOR HUMBERTO RAMOS LOZANO,SECRETARIA DE EDUCACION PUBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Ciudad Apodaca                                                                                                ,25.78246202,-100.1822072
2922256,CAM PROFESORA ROSA MARÍA GARZA GÓMEZ TURNO MATUTINO,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,García                                                                                                        ,25.79214502,-100.5964336
2942487,CAM PROFRA. EVA ARMIDIA GONZALEZ GONZALEZ,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Ciudad Apodaca                                                                                                ,25.70862492,-100.1557291
2941736,CAM PROFRA. MARIA DE JESUS GONZALEZ,,611182,Escuelas del sector público de educación para necesidades especiales,0 a 5 personas,China                                                                                                         ,25.69171168,-99.2397098
3039355,CAM RAFAEL SANTA MARINA MATRICULA 19DML0015F TURNO VESPERTINO FEDERAL,SECRETARIA DE EDUCACION ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Monterrey                                                                                                     ,25.66371525,-100.2705012
3019745,CAM RODRIGO HERNANDEZ SAUSEDA,SECRETARIA DE EDUCACION ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,San Pedro Garza García                                                                                        ,25.66444293,-100.4116669
3047897,CAM SAN BERNABE,CAM SANBERNABE 19DMR0023O ,611182,Escuelas del sector público de educación para necesidades especiales,31 a 50 personas,Monterrey                                                                                                     ,25.76032173,-100.3722752
3019746,CAM SERTOMA REGIOMONTANO,SECRETARIA DE EDUCACION ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,San Pedro Garza García                                                                                        ,25.66430687,-100.4112219
2979764,CAM SOCORRO GENOVEVEA SADA DE RANGEL,GOBIERNO DEL ESTADO ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,San Nicolás de los Garza                                                                                      ,25.71455632,-100.2498069
8971284,CAM TALLER PRODUCTIVO NUEVO AMANECER,SECRETARIA DE EDUCACION PUBLICA ,611182,Escuelas del sector público de educación para necesidades especiales,0 a 5 personas,Ciudad Apodaca                                                                                                ,25.77967501,-100.2490334
2989292,CAM TALLER PRODUCTIVO OSCAR ROCHA,SECRETARÍA DE EDUCACIÓN ,611182,Escuelas del sector público de educación para necesidades especiales,0 a 5 personas,Ciudad Benito Juárez                                                                                          ,25.64611169,-100.0957133
3023674,CAM TALLERES PRODUCTIVOS,,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Cadereyta Jiménez                                                                                             ,25.58203709,-99.98906777
2997298,CAM TALLERES PRODUCTIVOS 19DML0028J,SEP ,611182,Escuelas del sector público de educación para necesidades especiales,11 a 30 personas,Santiago                                                                                                      ,25.40050314,-100.130524
2980538,CAMP SERAFIN PEÑA,SECRETARÍA DE EDUCACIÓN PÚBLICA ,611172,Escuelas del sector público que combinan diversos niveles de educación,11 a 30 personas,Guadalupe                                                                                                     ,25.68785924,-100.2416606
6365729,CAMPUS EUGENIO GARZA LA GUERRA,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY ,611161,Escuelas de educación media superior del sector privado,101 a 250 personas,Monterrey                                                                                                     ,25.61754254,-100.2759867
8684158,CAPIS,,611181,Escuelas del sector privado de educación para necesidades especiales,0 a 5 personas,San Nicolás de los Garza                                                                                      ,25.73163123,-100.2415601
